epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.272,1.68704,3.48055,1.26177,0.51931,0.4984,0.55427,0.30236,1.54516,2.6939,1.19949,0.000300651,0.000300651,0.000300651
2,264.214,1.53772,2.07365,1.20799,0.67102,0.86123,0.79185,0.43386,1.45764,1.81003,1.2495,0.000591699,0.000591699,0.000591699
3,394.449,1.552,1.68687,1.30369,0.73627,0.90709,0.8355,0.44337,1.5694,1.60091,1.37496,0.000870748,0.000870748,0.000870748
4,524.504,1.48044,1.55097,1.26765,0.81842,0.98367,0.87555,0.49802,1.40593,1.4581,1.28097,0.000855005,0.000855005,0.000855005
5,653.416,1.45925,1.41768,1.27472,0.82504,0.96024,0.8768,0.5046,1.42251,1.2955,1.28805,0.000837007,0.000837007,0.000837007
6,782.037,1.44791,1.32761,1.27454,0.79975,0.94643,0.86554,0.51015,1.39724,1.17915,1.29716,0.000819009,0.000819009,0.000819009
7,908.933,1.42213,1.23078,1.25446,0.84993,0.96809,0.89186,0.52535,1.40575,1.06349,1.33475,0.000801011,0.000801011,0.000801011
8,1036.65,1.40143,1.16536,1.26328,0.84631,0.99501,0.88455,0.51656,1.39263,1.07274,1.32972,0.000783013,0.000783013,0.000783013
9,1164.23,1.3981,1.1255,1.25152,0.81627,0.95438,0.88001,0.52095,1.36181,1.00135,1.2986,0.000765014,0.000765014,0.000765014
10,1296.81,1.38337,1.08953,1.22193,0.82377,0.98968,0.89868,0.54888,1.33174,0.95493,1.27676,0.000747016,0.000747016,0.000747016
11,1434.68,1.39061,1.02723,1.26862,0.85704,0.9766,0.89151,0.54303,1.33175,0.89803,1.31527,0.000729018,0.000729018,0.000729018
12,1640.18,1.3346,1.00961,1.22701,0.82439,0.98503,0.8981,0.54855,1.3622,0.91293,1.31241,0.00071102,0.00071102,0.00071102
